Date,Australasia & Oceania,Central America & Caribbean,Central Asia,East Asia,Eastern Europe,Middle East & North Africa,North America,South America,South Asia,Southeast Asia,Sub-Saharan Africa,Western Europe,Sum
1994-01-31,1,18,2,0,4,131,20,20,17,3,36,76,328
1994-02-28,0,19,4,3,2,106,2,44,9,11,56,62,318
1994-03-31,5,17,8,4,10,178,10,39,11,14,76,49,421
1994-04-30,0,8,5,3,10,104,8,12,18,15,93,89,365
1994-05-31,0,13,9,1,12,87,6,66,27,13,31,49,314
1994-06-30,1,19,11,2,13,59,5,39,11,18,24,41,243
1994-07-31,0,18,3,1,9,48,5,39,41,11,19,62,256
1994-08-31,0,15,0,2,11,58,2,13,13,8,23,67,212
1994-09-30,3,21,8,5,7,78,7,20,31,17,18,30,245
1994-10-31,3,15,5,2,6,72,14,35,39,16,20,13,240
1994-11-30,1,11,6,3,7,62,8,14,52,11,19,25,219
1994-12-31,0,6,4,8,4,68,16,32,107,14,17,21,297
1995-01-31,0,22,6,7,4,60,12,21,25,7,30,19,213
1995-02-28,0,30,6,0,3,67,12,18,73,11,15,19,254
1995-03-31,0,12,6,7,8,63,9,21,52,11,30,51,270
1995-04-30,0,7,7,2,3,43,10,6,41,12,14,23,168
1995-05-31,0,11,4,7,7,37,8,28,170,22,20,10,324
1995-06-30,3,15,5,3,4,29,6,15,148,27,20,13,288
1995-07-31,2,25,6,4,4,44,4,20,84,21,20,71,305
1995-08-31,5,6,3,1,4,53,8,11,100,10,15,31,247
1995-09-30,4,8,3,0,5,62,3,29,136,12,17,21,300
1995-10-31,4,11,5,3,15,46,6,51,131,10,14,19,315
1995-11-30,0,10,3,0,6,37,7,16,40,7,18,27,171
1995-12-31,0,11,1,4,5,49,6,19,51,18,26,35,225
1996-01-31,3,9,1,2,13,35,9,15,102,11,11,86,297
1996-02-29,1,18,4,1,11,33,4,15,94,9,17,26,233
1996-03-31,0,2,4,5,8,32,3,24,88,16,22,28,232
1996-04-30,0,4,2,5,16,25,8,58,80,17,15,21,251
1996-05-31,0,20,2,3,7,32,4,40,92,20,29,39,288
1996-06-30,2,10,1,2,10,43,7,25,43,12,18,15,188
